"Package","Version"
"tidytree","0.4.6"
"tidyverse","2.0.0"
"timechange","0.3.0"
"tinytex","0.57"
"tools","4.5.1"
"treeio","1.32.0"
"truncnorm","1.0-9"
"tweenr","2.0.3"
"tzdb","0.5.0"
"UCSC.utils","1.4.0"
"urlchecker","1.0.1"
"usethis","3.1.0"
"utf8","1.2.6"
"utils","4.5.1"
"uuid","1.2-1"
"uwot","0.2.3"
"variancePartition","1.38.0"
"vctrs","0.6.5"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.6.1"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.52"
"XML","3.99-0.18"
"xml2","1.3.8"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xtable","1.8-4"
"XVector","0.48.0"
"yaml","2.3.10"
"yulab.utils","0.2.0"
"zellkonverter","1.18.0"
"zenith","1.10.0"
"zigg","0.0.2"
"zip","2.3.3"
"zoo","1.8-14"
