Activation;Tonic;Genes_Polyfun;Genes_Prolif;Genes_Teff;GlucoliticProcess;CD8_CARHigh_Signature;KEGG1;KEGG2;Exhaustion1;Exhau_2;Temeff_TnTcm;Gluconeogenesis;TricarboxylicAcidCycle
;;;;;;CCL4L2;;;;;;;
;;;;;;TEDC2;;;;;;;
;;;;;;PSMC3IP;;;;;;;
;;;;;;ANXA3;;;;;;;
;;;;;;MGAT3;;;;;;;
;;;;;;KIF18B;;;;;;;
;;;;;;IQCD;;;;;;;
;;;;;;AL109741.1;;;;;;;
;;;;;;REXO5;;;;;;;
;;;;;;LIMA1;;;;;;;
;;;;;;SPON1;;;;;;;
;;;;;;ADGRG1;;;;;;;
;;;;;;TRIP13;;;;;;;
;;;;;;SDC4;;;;;;;
;;;;;;LINC01730;;;;;;;
;;;;;;AC008555.4;;;;;;;
;;;;;;NIPAL2;;;;;;;
;;;;;;CDC25A;;;;;;;
;;;;;;RAD54L;;;;;;;
;;;;;;C1orf198;;;;;;;
;;;;;;DLL1;;;;;;;
;;;;;;HNRNPA1P21;;;;;;;
;;;;;;CXXC5;;;;;;;
;;;;;;DAPK1;;;;;;;
;;;;;;CRLF2;;;;;;;
;;;;;;NHSL2;;;;;;;
;;;;;;RNU6-242P;;;;;;;
;;;;;;SERPINE2;;;;;;;
;;;;;;PTGDS;;;;;;;
;;;;;;FAM13A;;;;;;;
;;;;;;L3MBTL3;;;;;;;
;;;;;;NECTIN1;;;;;;;
;;;;;;ADGRE1;;;;;;;
;;;;;;RGS16;;;;;;;
;;;;;;PKMYT1;;;;;;;
;;;;;;GRASP;;;;;;;
;;;;;;ULBP1;;;;;;;
;;;;;;TIAM2;;;;;;;
;;;;;;RHOU;;;;;;;
;;;;;;GNG4;;;;;;;
;;;;;;TIPIN;;;;;;;
;;;;;;CTHRC1;;;;;;;
;;;;;;PLCG1-AS1;;;;;;;
;;;;;;NUP35;;;;;;;
;;;;;;MND1;;;;;;;
;;;;;;CTTNBP2NL;;;;;;;
;;;;;;HACD1;;;;;;;
;;;;;;MAMLD1;;;;;;;
;;;;;;SUOX;;;;;;;
;;;;;;CEBPD;;;;;;;
;;;;;;C17orf53;;;;;;;
;;;;;;AC141557.1;;;;;;;
;;;;;;MATN4;;;;;;;
;;;;;;ANKRD33B;;;;;;;
;;;;;;IL13;;;;;;;
;;;;;;PBK;;;;;;;
;;;;;;SPAG1;;;;;;;
;;;;;;SNAI3;;;;;;;
;;;;;;AC119044.1;;;;;;;
;;;;;;FCGRT;;;;;;;
;;;;;;MYH10;;;;;;;
;;;;;;IQCC;;;;;;;
;;;;;;NEURL3;;;;;;;
;;;;;;XCL1;;;;;;;
;;;;;;SRPX;;;;;;;
;;;;;;FOSL2;;;;;;;
;;;;;;PDLIM1;;;;;;;
;;;;;;ZBTB32;;;;;;;
;;;;;;LINC00173;;;;;;;
;;;;;;SPEG;;;;;;;
;;;;;;AUNIP;;;;;;;
;;;;;;EGR3;;;;;;;
;;;;;;MIR155HG;;;;;;;
;;;;;;TNFRSF8;;;;;;;
;;;;;;TNFSF4;;;;;;;
;;;;;;GPR84;;;;;;;
